name	ID	GAME	LOCATION	MATCHUP	Confidence_Score	team1	team2	team3	team4	pick	game_time	winner	correct
Bostwick	3	TaxSlayer	Jacksonville, Fla.	Iowa (7-5) vs. Tennessee (6-6)	12	Iowa	Tennessee			Tennessee	1/2/2015  3:20 PM		
Bostwick	3	Armed Forces	Fort Worth, Texas	Houston (7-5) vs. Pittsburgh (6-6)	13	Houston	Pittsburgh			Pittsburgh	1/2/2015 12:00 PM		
Bostwick	3	Outback	Tampa, Fla.	Wisconsin (10-3) vs. Auburn (8-4)	29	Wisconsin	Auburn			Auburn	1/1/2015 12:00 PM		
Bostwick	3	Citrus	Orlando, Fla.	Minnesota (8-4) vs. Missouri (10-3)	23	Minnesota	Missouri			Missouri	1/1/2015 12:30 PM		
Bostwick	3	Foster Farms	Santa Clara, Calif.	Maryland (7-5) vs. Stanford (7-5)	39	Maryland	Stanford			Stanford	12/30/2014 10:00 PM		
Bostwick	3	Belk	Charlotte, N.C.	Louisville (9-3) vs. Georgia (9-3)	32	Louisville	Georgia			Georgia	12/30/2014  6:45 PM		
Bostwick	3	Music City	Nashville, Tenn.	Notre Dame (7-5) vs. LSU (8-4)	35	Notre Dame	LSU			LSU	12/30/2014  3:00 PM		
Bostwick	3	Texas	Houston, Texas	Texas (6-6) vs. Arkansas (6-6)	26	Texas	Arkansas			Arkansas	12/29/2014  9:00 PM		
Bostwick	3	Russell Athletic	Orlando, Fla.	Clemson (9-3) vs. Oklahoma (8-4)	16	Clemson	Oklahoma			Oklahoma	12/29/2014  5:30 PM		
Bostwick	3	Liberty	Memphis, Tenn.	West Virginia (7-5) vs. Texas A&M (7-5)	17	West Virginia	Texas A&M			West Virginia	12/29/2014  2:00 PM		
Bostwick	3	Holiday	San Diego, Calif.	Nebraska (9-3) vs. USC (8-4)	36	Nebraska	USC			USC	12/27/2014  8:00 PM		
Bostwick	3	Pinstripe	Bronx, N.Y.	Boston College (7-5) vs. Penn State (6-6)	14	Boston College	Penn State			Boston College	12/27/2014  4:30 PM		
Bostwick	3	Independence	Shreveport, La.	Miami (Fla.) (6-6) vs. South Carolina (6-6)	25	Miami (Fla.)	South Carolina			Miami (Fla.)	12/27/2014  4:00 PM		
Bostwick	3	Sun	El Paso, Texas	Duke (9-3) vs. Arizona State (9-3)	34	Duke	Arizona State			Arizona State	12/27/2014  2:00 PM		
Bostwick	3	Military	Annapolis, Md.	Virginia Tech (6-6) vs. Cincinnati (9-3)	9	Virginia Tech	Cincinnati			Cincinnati	12/27/2014  1:00 PM		
Bostwick	3	Bitcoin	St. Petersburg, Fla.	NC State (7-5) vs. UCF (9-3)	20	NC State	UCF			UCF	12/26/2014  8:00 PM		
Bostwick	3	Quick Lane	Detroit, Mich.	Rutgers (7-5) vs. North Carolina (6-6)	19	Rutgers	North Carolina			North Carolina	12/26/2014  4:30 PM		
Bostwick	3	Heart of Dallas	Dallas, Texas	Illinois (6-6) vs. Louisiana Tech (8-5)	33	Illinois	Louisiana Tech			Louisiana Tech	12/26/2014  1:00 PM		
Bostwick	3	Hawaii	Honolulu, Hawaii	Fresno State (6-7) vs. Rice (7-5)	8	Fresno State	Rice			Rice	12/24/2014  8:00 PM		
Bostwick	3	Bahamas	Nassau, Bahamas	Western Kentucky (7-5) vs. Central Michigan (7-5)	7	Western Kentucky	Central Michigan			Western Kentucky	12/24/2014 12:00 PM		
Bostwick	3	Poinsettia	San Diego, Calif.	San Diego State (7-5) vs. Navy (6-5)	6	San Diego State	Navy			San Diego State	12/23/2014  9:30 PM	Navy	0
Bostwick	3	Boca Raton	Boca Raton, Fla.	Marshall (12-1) vs. Northern Illinois (11-2)	24	Marshall	Northern Illinois			Marshall	12/23/2014  6:00 PM	Marshall	1
Bostwick	3	Miami Beach	Miami, Fla.	Memphis (9-3) vs. BYU (8-4)	4	Memphis	BYU			Memphis	12/22/2014  2:00 PM	Memphis	1
Bostwick	3	Camellia	Montgomery, Ala.	Bowling Green (7-6) vs. South Alabama (6-6)	5	Bowling Green	South Alabama			South Alabama	12/20/2014  9:15 PM	Bowling Green	0
Bostwick	3	Idaho Potato	Boise, Idaho	Air Force (9-3) vs. Western Michigan (8-4)	3	Air Force	Western Michigan			Air Force	12/20/2014  5:45 PM	Air Force	1
Bostwick	3	Royal Purple	Las Vegas, Nev.	Colorado State (10-2) vs. Utah (8-4)	18	Colorado State	Utah			Utah	12/20/2014  3:30 PM	Utah	1
Bostwick	3	New Mexico	Albuquerque, N.M.	Utah State (9-4) vs. UTEP (7-5)	38	Utah State	UTEP			Utah State	12/20/2014  2:20 PM	Utah State	1
Bostwick	3	New Orleans	New Orleans, La.	UL Lafayette (8-4) vs. Nevada (7-5)	2	UL Lafayette	Nevada			Nevada	12/20/2014 11:00 AM	UL Lafayette	0
Liz	4	Championship	Arlington, Texas	Semifinal winners	39	Alabama	Oregon	Florida State	Ohio State	Ohio State	1/12/2015  8:30 PM		
Liz	4	Rose	Pasadena, Calif.	No. 2 Oregon (12-1) vs. No. 3 Florida State (13-0)	38	Oregon	Florida State			Oregon	1/1/2015  5:00 PM		
Liz	4	Sugar	New Orleans, La.	No. 1 Alabama (12-1) vs. No. 4 Ohio State (12-1)	28	Alabama	Ohio State			Ohio State	1/1/2015  8:30 PM		
Liz	4	Cotton	Arlington, Texas	Baylor (11-1) vs. Michigan State (10-2)	27	Baylor	Michigan State			Michigan State	1/1/2015 12:30 PM		
Liz	4	Orange	Miami, Fla.	Georgia Tech (10-3) vs. Mississippi State (10-2)	35	Georgia Tech	Mississippi State			Georgia Tech	12/31/2014  8:00 PM		
Liz	4	Fiesta	Glendale, Ariz.	Arizona (10-3) vs. Boise State (11-2)	34	Arizona	Boise State			Arizona	12/31/2014  4:00 PM		
Liz	4	Peach	Atlanta, Ga.	TCU (11-1) vs. Ole Miss (9-3)	32	TCU	Ole Miss			TCU	12/31/2014 12:30 PM		
Liz	4	GoDaddy	Mobile, Ala.	Toledo (8-4) vs. Arkansas State (7-5)	33	Toledo	Arkansas State			Toledo	1/4/2015  9:00 PM		
Liz	4	Birmingham	Birmingham, Ala.	Florida (6-5) vs. East Carolina (8-4)	31	Florida	East Carolina			East Carolina	1/3/2015 12:00 PM		
Liz	4	Cactus	Tempe, Ariz.	Oklahoma State (6-6) vs. Washington (8-5)	16	Oklahoma State	Washington			Washington	1/2/2015 10:15 PM		
Liz	4	Alamo	San Antonio, Texas	Kansas State (9-3) vs. UCLA (9-3)	29	Kansas State	UCLA			UCLA	1/2/2015  6:45 PM		
Liz	4	TaxSlayer	Jacksonville, Fla.	Iowa (7-5) vs. Tennessee (6-6)	30	Iowa	Tennessee			Iowa	1/2/2015  3:20 PM		
Liz	4	Armed Forces	Fort Worth, Texas	Houston (7-5) vs. Pittsburgh (6-6)	15	Houston	Pittsburgh			Houston	1/2/2015 12:00 PM		
Liz	4	Outback	Tampa, Fla.	Wisconsin (10-3) vs. Auburn (8-4)	26	Wisconsin	Auburn			Wisconsin	1/1/2015 12:00 PM		
Liz	4	Citrus	Orlando, Fla.	Minnesota (8-4) vs. Missouri (10-3)	14	Minnesota	Missouri			Minnesota	1/1/2015 12:30 PM		
Liz	4	Foster Farms	Santa Clara, Calif.	Maryland (7-5) vs. Stanford (7-5)	23	Maryland	Stanford			Stanford	12/30/2014 10:00 PM		
Liz	4	Belk	Charlotte, N.C.	Louisville (9-3) vs. Georgia (9-3)	12	Louisville	Georgia			Louisville	12/30/2014  6:45 PM		
Liz	4	Music City	Nashville, Tenn.	Notre Dame (7-5) vs. LSU (8-4)	36	Notre Dame	LSU			LSU	12/30/2014  3:00 PM		
Liz	4	Texas	Houston, Texas	Texas (6-6) vs. Arkansas (6-6)	3	Texas	Arkansas			Arkansas	12/29/2014  9:00 PM		
Liz	4	Russell Athletic	Orlando, Fla.	Clemson (9-3) vs. Oklahoma (8-4)	23	Clemson	Oklahoma			Clemson	12/29/2014  5:30 PM		
Liz	4	Liberty	Memphis, Tenn.	West Virginia (7-5) vs. Texas A&M (7-5)	22	West Virginia	Texas A&M			Texas A&M	12/29/2014  2:00 PM		
Liz	4	Holiday	San Diego, Calif.	Nebraska (9-3) vs. USC (8-4)	1	Nebraska	USC			USC	12/27/2014  8:00 PM		
Liz	4	Pinstripe	Bronx, N.Y.	Boston College (7-5) vs. Penn State (6-6)	8	Boston College	Penn State			Boston College	12/27/2014  4:30 PM		
Liz	4	Independence	Shreveport, La.	Miami (Fla.) (6-6) vs. South Carolina (6-6)	2	Miami (Fla.)	South Carolina			South Carolina	12/27/2014  4:00 PM		
Liz	4	Sun	El Paso, Texas	Duke (9-3) vs. Arizona State (9-3)	13	Duke	Arizona State			Duke	12/27/2014  2:00 PM		
Liz	4	Military	Annapolis, Md.	Virginia Tech (6-6) vs. Cincinnati (9-3)	24	Virginia Tech	Cincinnati			Cincinnati	12/27/2014  1:00 PM		
Liz	4	Bitcoin	St. Petersburg, Fla.	NC State (7-5) vs. UCF (9-3)	19	NC State	UCF			NC State	12/26/2014  8:00 PM		
Liz	4	Quick Lane	Detroit, Mich.	Rutgers (7-5) vs. North Carolina (6-6)	25	Rutgers	North Carolina			Rutgers	12/26/2014  4:30 PM		
Liz	4	Heart of Dallas	Dallas, Texas	Illinois (6-6) vs. Louisiana Tech (8-5)	4	Illinois	Louisiana Tech			Louisiana Tech	12/26/2014  1:00 PM		
Liz	4	Hawaii	Honolulu, Hawaii	Fresno State (6-7) vs. Rice (7-5)	6	Fresno State	Rice			Rice	12/24/2014  8:00 PM		
Liz	4	Bahamas	Nassau, Bahamas	Western Kentucky (7-5) vs. Central Michigan (7-5)	21	Western Kentucky	Central Michigan			Central Michigan	12/24/2014 12:00 PM		
Liz	4	Poinsettia	San Diego, Calif.	San Diego State (7-5) vs. Navy (6-5)	18	San Diego State	Navy			Navy	12/23/2014  9:30 PM	Navy	1
Liz	4	Boca Raton	Boca Raton, Fla.	Marshall (12-1) vs. Northern Illinois (11-2)	17	Marshall	Northern Illinois			Marshall	12/23/2014  6:00 PM	Marshall	1
Liz	4	Miami Beach	Miami, Fla.	Memphis (9-3) vs. BYU (8-4)	20	Memphis	BYU			BYU	12/22/2014  2:00 PM	Memphis	0
Liz	4	Camellia	Montgomery, Ala.	Bowling Green (7-6) vs. South Alabama (6-6)	11	Bowling Green	South Alabama			Bowling Green	12/20/2014  9:15 PM	Bowling Green	1
Liz	4	Idaho Potato	Boise, Idaho	Air Force (9-3) vs. Western Michigan (8-4)	10	Air Force	Western Michigan			Air Force	12/20/2014  5:45 PM	Air Force	1
Liz	4	Royal Purple	Las Vegas, Nev.	Colorado State (10-2) vs. Utah (8-4)	9	Colorado State	Utah			Colorado State	12/20/2014  3:30 PM	Utah	0
Liz	4	New Mexico	Albuquerque, N.M.	Utah State (9-4) vs. UTEP (7-5)	7	Utah State	UTEP			Utah State	12/20/2014  2:20 PM	Utah State	1
Liz	4	New Orleans	New Orleans, La.	UL Lafayette (8-4) vs. Nevada (7-5)	5	UL Lafayette	Nevada			Nevada	12/20/2014 11:00 AM	UL Lafayette	0
Joey	5	Championship	Arlington, Texas	Semifinal winners	2	Alabama	Oregon	Florida State	Ohio State	Alabama	1/12/2015  8:30 PM		
Joey	5	Rose	Pasadena, Calif.	No. 2 Oregon (12-1) vs. No. 3 Florida State (13-0)	35	Oregon	Florida State			Oregon	1/1/2015  5:00 PM		
Joey	5	Sugar	New Orleans, La.	No. 1 Alabama (12-1) vs. No. 4 Ohio State (12-1)	36	Alabama	Ohio State			Alabama	1/1/2015  8:30 PM		
Joey	5	Cotton	Arlington, Texas	Baylor (11-1) vs. Michigan State (10-2)	11	Baylor	Michigan State			Baylor	1/1/2015 12:30 PM		
Joey	5	Orange	Miami, Fla.	Georgia Tech (10-3) vs. Mississippi State (10-2)	34	Georgia Tech	Mississippi State			Mississippi State	12/31/2014  8:00 PM		
Joey	5	Fiesta	Glendale, Ariz.	Arizona (10-3) vs. Boise State (11-2)	19	Arizona	Boise State			Arizona	12/31/2014  4:00 PM		
Joey	5	Peach	Atlanta, Ga.	TCU (11-1) vs. Ole Miss (9-3)	15	TCU	Ole Miss			TCU	12/31/2014 12:30 PM		
Joey	5	GoDaddy	Mobile, Ala.	Toledo (8-4) vs. Arkansas State (7-5)	23	Toledo	Arkansas State			Toledo	1/4/2015  9:00 PM		
Joey	5	Birmingham	Birmingham, Ala.	Florida (6-5) vs. East Carolina (8-4)	32	Florida	East Carolina			Florida	1/3/2015 12:00 PM		
Joey	5	Cactus	Tempe, Ariz.	Oklahoma State (6-6) vs. Washington (8-5)	25	Oklahoma State	Washington			Washington	1/2/2015 10:15 PM		
Joey	5	Alamo	San Antonio, Texas	Kansas State (9-3) vs. UCLA (9-3)	8	Kansas State	UCLA			UCLA	1/2/2015  6:45 PM		
Joey	5	TaxSlayer	Jacksonville, Fla.	Iowa (7-5) vs. Tennessee (6-6)	20	Iowa	Tennessee			Tennessee	1/2/2015  3:20 PM		
